Стрімголов,2017,Drama,7.1
Бобот та енергія Всесвіту,2018,Adventure,4.8
Chelovek bez serdtsa,,Drama,
"Давай, танцюй!",2019,Drama,7.0
Nichto ne sluchaetsya dvazhdy,,Drama,6.9
Жива,2016,Adventure,6.8
Tank,,Thriller,
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,Action,8.5
Голос країни,,Music,6.6
Аврора,2006,Drama,6.2
Лікар Ковальчук,,Drama,
Людина з табуретом,2019,Documentary,8.5
Сходи Якова,2014,Documentary,
Співає Івано-Франківськтеплокомуненерго,2019,Documentary,8.2
Моя бабуся Фані Каплан,2016,Biography,6.3
Warface,2013,Action,5.5
Drugaya,,Crime,
Голод-33,1991,Drama,6.9
Plyazh,,Mystery,
Серця трьох,,Adventure,7.3
Svobodnaya energiya Tesly,2013,Documentary,8.4
Zefir v shokolade,1993,Comedy,5.1
3 Guys 1 Hammer,2008,Documentary,4.3
Мелодія для катеринки,2009,Drama,6.9
Legion. Chronicle of the Ukrainian Galician Army 1918-1919,2015,Documentary,9.3
Брати по зброї,2019,Documentary,
Добровольці Божої чоти,2015,Documentary,9.1
Maski Show,,Comedy,7.2
Брати. Остання сповідь,2013,Drama,7.1
Зрадник,2017,Drama,5.1
Деліріум,2013,Drama,7.8
Bez prava na vybor,2013,War,5.3
Korotkoe slovo 'net',,Drama,
Zoloto partii,1993,Drama,4.5
Свінгери 2,2019,Comedy,5.8
#SelfieParty,2016,Action,5.2
X-Фактор,,Music,6.1
Split,,Drama,
Параджанов,2013,Drama,6.7
Назви своє ім'я,2006,Documentary,6.1
Переломний момент: Війна за демократію в Україні,2017,Documentary,7.1
Twists of Fate,,Drama,
Rayskie ptitsy,2008,Drama,6.1
Самотній за контрактом,2014,Comedy,5.5
Kontakt,,Crime,
Полярний рейс,2013,Comedy,3.9
Будинок із башточкою,2012,Drama,6.8
Інфоголік,2017,Comedy,5.9
Екс,2020,Action,8.2
Parshivye ovtsy,,Drama,4.7
Меніни,2008,Drama,7.2
Вага,2015,Short,
Konsultant,,Drama,
Long Way Home,,Drama,
Sui Caedere,2018,Short,8.3
Svaty 5,,Comedy,6.6
Євробачення 2017,2017,Music,7.3
Урсус,2020,Drama,
Фучжоу,1993,Drama,6.8
Чунгул,2016,Drama,6.0
Rebyonok na million,,Drama,
Шоу кафкiанських чувакiв,,Comedy,
Мир вашому дому!,2017,Comedy,8.0
ТойХтоПройшовКрізьBогонь,2011,Adventure,7.0
Лука,2013,Biography,6.7
Залізна сотня,2004,Action,5.4
Pulse,2020,Drama,
"В чорнiй, чорнiй кiмнатi",2020,Crime,
Припутні,2017,Comedy,6.5
Міф,2018,Documentary,8.7
Ya podaryu tebe rassvet,,Action,
"Де ти, Адаме?",2019,Documentary,
Домашні ігри,2018,Documentary,7.4
Mir naiznanku,,Documentary,8.8
Mnohaya lita. Stoyko,2020,Documentary,10
Правило бою,2017,Action,6.7
Каламбур,,Comedy,6.4
Ядерні відходи,2012,Short,5.6
Lucy Laistner! My First Busty Interview,2019,Short,
Кульбабове вино,1998,Adventure,6.9
Побачення у Вегасі,2020,Adventure,6.2
Crabgirl,2018,Short,7.4
Вій,1996,Animation,7.2
Передчуття,2020,Drama,
The Big Fight,,Action,
Богдан-Зиновій Хмельницький,2008,History,5.8
Рівень чорного,2017,Drama,5.8
DZIDZIO Перший Раз,2018,Comedy,6.4
Українські шерифи,2015,Documentary,7.1
Шулер,,Crime,6.7
Svaty 3,,Comedy,7.1
"Muzhchina dlya zhizni, ili Na brak ne pretenduyu",2008,Comedy,5.8
Vtorostepennye lyudi,2001,Comedy,7.0
Два в одному,2007,Comedy,6.6
Svaty 4,,Comedy,6.8
Finding Bigfoot,2017,Horror,7.4
Панорама,2019,Documentary,6.9
Bez prava na vybor,,Adventure,5.5
Останній солдат,2017,Documentary,9.1
"Ulybka Boga, ili Chisto odesskaya istoriya",2008,Comedy,5.9
1 Guy 1 Screwdriver,2009,Short,7.4
Тяжіння,2009,Romance,5.7
Mademoiselle Zhivago,2013,Music,8.6
Devochki moi,,Drama,
Потворна Кралечка,2018,Short,5.9
It's Me,2020,Documentary,
"Dota: We, the Community",2015,Documentary,8.2
Комунальне чтиво написано криво,,Action,
King Danylo: Dark times,,Adventure,
No Hesitation,,Drama,
Бабин Яр,2002,Drama,
Chernobyl. 3828,2011,Documentary,8.5
Вічність,2019,Short,6.0
The Worst Batman Fanfilm Ever... Period,2016,Short,7.2
Black Hole,2019,Short,
Нескорений,2000,Drama,6.5
Маркус,,Crime,
Одного разу в Одесi,2016,Short,8.3
Anna,2019,Short,
Гвардія,,Action,6.4
Маестро,,TV Series (2015– ),7.1
Мамай,2003,Drama,7.1
Енеїда,1991,Animation,8.2
Klyanus lyubit tebya vechno,,Drama,
Таємний щоденник Симона Петлюри,2018,Biography,6.2
Verona treasures,2019,Documentary,
Колообіг,2020,Documentary,
Століття Якова,,Drama,8.3
Secrets,,Crime,
Синевир,2013,Horror,3.0
We Are Soldiers,,Documentary,
Воля або смерть!,2015,Documentary,7.1
On a Whim,2020,Short,
Іван Сила,2013,Adventure,7.3
Luxembourg,,Drama,
Taynaya lyubov,,Drama,
Тіні незабутих предків,2013,Adventure,6.1
Insiders Project,,Documentary,8.3
Одвiчне повернення,2012,Drama,6.7
Serdtse materi,,Drama,
Kazka: Plakala,2018,Short,8.5
Історія Лізи,2019,Drama,7.6
Відьма,,Adventure,
Papa Den,,Comedy,
Lyubimaya uchitelnitsa,,Drama,6.6
Тільки Диво,2019,Family,7.2
"40+, ili Geometriya chuvstv",,Drama,
Халепа на 5 Baksiv,2019,7 November 2019 (Ukraine),6.3
